date,sales,region,state,category,type,caffeination
1/1/2010,82,Central,MO,Tea,Darjeeling,Regular
1/1/2010,65,Central,MO,Tea,Earl Grey,Regular
1/1/2010,140,Central,OH,Coffee,Amaretto,Regular
1/1/2010,140,Central,OH,Coffee,Columbian,Regular
1/1/2010,150,Central,OH,Coffee,Decaf Irish Cream,Decaf
1/1/2010,200,Central,OH,Tea,Earl Grey,Regular
1/1/2010,130,Central,OH,Espresso,Decaf Espresso,Decaf
1/1/2010,341,Central,OH,Espresso,Caffe Mocha,Regular
1/1/2010,80,Central,OH,Herbal Tea,Chamomile,Decaf
1/1/2010,80,Central,OH,Herbal Tea,Lemon,Decaf
1/1/2010,210,Central,OH,Tea,Darjeeling,Regular
1/1/2010,120,Central,WI,Coffee,Amaretto,Regular
1/1/2010,190,Central,WI,Coffee,Columbian,Regular
1/1/2010,180,Central,WI,Coffee,Decaf Irish Cream,Decaf
1/1/2010,180,Central,WI,Tea,Earl Grey,Regular
1/1/2010,110,Central,WI,Espresso,Decaf Espresso,Decaf
1/1/2010,150,Central,WI,Espresso,Caffe Mocha,Regular
1/1/2010,180,Central,WI,Herbal Tea,Chamomile,Decaf
1/1/2010,81,Central,WI,Herbal Tea,Lemon,Decaf
1/1/2010,150,Central,WI,Tea,Darjeeling,Regular
1/1/2010,123,East,CT,Tea,Darjeeling,Regular
1/1/2010,94,East,CT,Tea,Green Tea,Regular
1/1/2010,130,East,CT,Espresso,Decaf Espresso,Decaf
1/1/2010,180,East,CT,Espresso,Caffe Mocha,Regular
1/1/2010,310,East,CT,Coffee,Columbian,Regular
1/1/2010,190,East,CT,Herbal Tea,Lemon,Decaf
1/1/2010,170,East,CT,Herbal Tea,Mint,Decaf
1/1/2010,80,East,FL,Tea,Darjeeling,Regular
1/1/2010,81,East,FL,Tea,Green Tea,Regular
1/1/2010,180,East,FL,Espresso,Decaf Espresso,Decaf
1/1/2010,190,East,FL,Espresso,Caffe Mocha,Regular
1/1/2010,200,East,FL,Coffee,Decaf Irish Cream,Decaf
1/1/2010,210,East,FL,Coffee,Columbian,Regular
1/1/2010,110,East,FL,Herbal Tea,Chamomile,Decaf
1/1/2010,120,East,FL,Herbal Tea,Lemon,Decaf
1/1/2010,150,East,FL,Herbal Tea,Mint,Decaf
1/1/2010,80,East,MA,Tea,Darjeeling,Regular
1/1/2010,80,East,MA,Tea,Green Tea,Regular
1/1/2010,341,East,MA,Espresso,Regular Espresso,Regular
1/1/2010,126,East,MA,Espresso,Caffe Mocha,Regular
1/1/2010,494,East,MA,Coffee,Columbian,Regular
1/1/2010,130,East,MA,Herbal Tea,Lemon,Decaf
1/1/2010,45,East,NH,Tea,Darjeeling,Regular
1/1/2010,43,East,NH,Tea,Green Tea,Regular
1/1/2010,65,East,NH,Espresso,Regular Espresso,Regular
1/1/2010,90,East,NH,Espresso,Caffe Mocha,Regular
1/1/2010,93,East,NH,Coffee,Amaretto,Regular
1/1/2010,120,East,NH,Coffee,Columbian,Regular
1/1/2010,76,East,NH,Herbal Tea,Lemon,Decaf
1/1/2010,234,East,NY,Tea,Darjeeling,Regular
1/1/2010,219,East,NY,Tea,Earl Grey,Regular
1/1/2010,134,East,NY,Tea,Green Tea,Regular
1/1/2010,490,East,NY,Espresso,Regular Espresso,Regular
1/1/2010,61,East,NY,Espresso,Caffe Mocha,Regular
1/1/2010,678,East,NY,Coffee,Columbian,Regular
1/1/2010,483,East,NY,Herbal Tea,Lemon,Decaf
1/1/2010,180,East,NY,Herbal Tea,Mint,Decaf
1/1/2010,180,South,LA,Espresso,Caffe Mocha,Regular
1/1/2010,150,South,LA,Espresso,Decaf Espresso,Decaf
1/1/2010,112,South,LA,Herbal Tea,Chamomile,Decaf
1/1/2010,190,South,LA,Herbal Tea,Lemon,Decaf
1/1/2010,180,South,LA,Espresso,Caffe Latte,Regular
1/1/2010,85,South,LA,Coffee,Columbian,Regular
1/1/2010,81,South,LA,Coffee,Decaf Irish Cream,Decaf
1/1/2010,90,South,NM,Espresso,Caffe Mocha,Regular
1/1/2010,82,South,NM,Espresso,Decaf Espresso,Decaf
1/1/2010,45,South,NM,Herbal Tea,Chamomile,Decaf
1/1/2010,62,South,NM,Herbal Tea,Lemon,Decaf
1/1/2010,65,South,NM,Espresso,Caffe Latte,Regular
1/1/2010,120,South,NM,Coffee,Columbian,Regular
1/1/2010,99,South,NM,Coffee,Decaf Irish Cream,Decaf
1/1/2010,80,South,OK,Espresso,Caffe Mocha,Regular
1/1/2010,210,South,OK,Espresso,Decaf Espresso,Decaf
1/1/2010,120,South,OK,Herbal Tea,Chamomile,Decaf
1/1/2010,190,South,OK,Herbal Tea,Lemon,Decaf
1/1/2010,200,South,OK,Espresso,Caffe Latte,Regular
1/1/2010,100,South,OK,Coffee,Columbian,Regular
1/1/2010,80,South,OK,Coffee,Decaf Irish Cream,Decaf
1/1/2010,219,South,TX,Espresso,Caffe Mocha,Regular
1/1/2010,134,South,TX,Espresso,Decaf Espresso,Decaf
1/1/2010,140,South,TX,Herbal Tea,Chamomile,Decaf
1/1/2010,140,South,TX,Herbal Tea,Lemon,Decaf
1/1/2010,180,South,TX,Espresso,Caffe Latte,Regular
1/1/2010,452,South,TX,Coffee,Columbian,Regular
1/1/2010,190,South,TX,Coffee,Decaf Irish Cream,Decaf
1/1/2010,114,West,UT,Espresso,Caffe Latte,Regular
1/1/2010,112,West,UT,Espresso,Caffe Mocha,Regular
1/1/2010,123,West,UT,Espresso,Decaf Espresso,Decaf
1/1/2010,93,West,UT,Herbal Tea,Chamomile,Decaf
1/1/2010,120,West,UT,Herbal Tea,Lemon,Decaf
1/1/2010,99,West,UT,Herbal Tea,Mint,Decaf
1/1/2010,90,West,UT,Tea,Darjeeling,Regular
1/1/2010,82,West,UT,Tea,Earl Grey,Regular
1/1/2010,65,West,UT,Tea,Green Tea,Regular
1/1/2010,170,West,UT,Coffee,Amaretto,Regular
1/1/2010,130,West,UT,Coffee,Columbian,Regular
1/1/2010,190,West,UT,Coffee,Decaf Irish Cream,Decaf
1/1/2010,456,West,CA,Espresso,Caffe Latte,Regular
1/1/2010,250,West,CA,Espresso,Caffe Mocha,Regular
1/1/2010,546,West,CA,Espresso,Decaf Espresso,Decaf
1/1/2010,234,West,CA,Herbal Tea,Chamomile,Decaf
1/1/2010,452,West,CA,Herbal Tea,Lemon,Decaf
1/1/2010,190,West,CA,Herbal Tea,Mint,Decaf
1/1/2010,219,West,CA,Tea,Darjeeling,Regular
1/1/2010,134,West,CA,Tea,Earl Grey,Regular
1/1/2010,180,West,CA,Tea,Green Tea,Regular
1/1/2010,145,West,CA,Coffee,Amaretto,Regular
1/1/2010,678,West,CA,Coffee,Columbian,Regular
1/1/2010,118,West,CA,Coffee,Decaf Irish Cream,Decaf
1/1/2010,43,West,NV,Espresso,Caffe Latte,Regular
1/1/2010,45,West,NV,Espresso,Caffe Mocha,Regular
1/1/2010,43,West,NV,Espresso,Decaf Espresso,Decaf
1/1/2010,62,West,NV,Coffee,Decaf Irish Cream,Decaf
1/1/2010,250,West,NV,Herbal Tea,Chamomile,Decaf
1/1/2010,345,West,NV,Herbal Tea,Lemon,Decaf
1/1/2010,234,West,NV,Herbal Tea,Mint,Decaf
1/1/2010,546,West,NV,Tea,Darjeeling,Regular
1/1/2010,456,West,NV,Tea,Earl Grey,Regular
1/1/2010,17,West,NV,Tea,Green Tea,Regular
1/1/2010,76,West,NV,Coffee,Columbian,Regular
1/1/2010,130,West,OR,Espresso,Caffe Latte,Regular
1/1/2010,140,West,OR,Espresso,Caffe Mocha,Regular
1/1/2010,341,West,OR,Espresso,Decaf Espresso,Decaf
1/1/2010,140,West,OR,Coffee,Decaf Irish Cream,Decaf
1/1/2010,90,West,OR,Herbal Tea,Chamomile,Decaf
1/1/2010,100,West,OR,Herbal Tea,Lemon,Decaf
1/1/2010,80,West,OR,Tea,Darjeeling,Regular
1/1/2010,210,West,OR,Tea,Earl Grey,Regular
1/1/2010,200,West,OR,Tea,Green Tea,Regular
1/1/2010,150,West,OR,Coffee,Amaretto,Regular
1/1/2010,160,West,OR,Coffee,Columbian,Regular
1/1/2010,110,West,WA,Espresso,Caffe Latte,Regular
1/1/2010,120,West,WA,Espresso,Caffe Mocha,Regular
1/1/2010,150,West,WA,Espresso,Decaf Espresso,Decaf
1/1/2010,190,West,WA,Coffee,Decaf Irish Cream,Decaf
1/1/2010,310,West,WA,Herbal Tea,Chamomile,Decaf
1/1/2010,85,West,WA,Herbal Tea,Lemon,Decaf
1/1/2010,180,West,WA,Tea,Darjeeling,Regular
1/1/2010,150,West,WA,Tea,Earl Grey,Regular
1/1/2010,180,West,WA,Tea,Green Tea,Regular
1/1/2010,130,West,WA,Coffee,Columbian,Regular
2/1/2010,243,Central,CO,Coffee,Amaretto,Regular
2/1/2010,190,Central,CO,Coffee,Columbian,Regular
2/1/2010,232,Central,CO,Coffee,Decaf Irish Cream,Decaf
2/1/2010,100,Central,CO,Tea,Green Tea,Regular
2/1/2010,189,Central,CO,Espresso,Caffe Mocha,Regular
2/1/2010,189,Central,CO,Espresso,Decaf Espresso,Decaf
2/1/2010,340,Central,CO,Herbal Tea,Chamomile,Decaf
2/1/2010,129,Central,CO,Herbal Tea,Lemon,Decaf
2/1/2010,140,Central,CO,Herbal Tea,Mint,Decaf
2/1/2010,132,Central,CO,Tea,Darjeeling,Regular
2/1/2010,136,Central,CO,Tea,Earl Grey,Regular
2/1/2010,354,Central,IL,Coffee,Columbian,Regular
2/1/2010,254,Central,IL,Coffee,Decaf Irish Cream,Decaf
2/1/2010,545,Central,IL,Espresso,Caffe Mocha,Regular
2/1/2010,457,Central,IL,Espresso,Decaf Espresso,Decaf
2/1/2010,243,Central,IL,Herbal Tea,Chamomile,Decaf
2/1/2010,190,Central,IL,Herbal Tea,Lemon,Decaf
2/1/2010,232,Central,IL,Herbal Tea,Mint,Decaf
2/1/2010,189,Central,IL,Tea,Darjeeling,Regular
2/1/2010,189,Central,IL,Tea,Earl Grey,Regular
2/1/2010,45,Central,IA,Coffee,Amaretto,Regular
2/1/2010,63,Central,IA,Coffee,Columbian,Regular
2/1/2010,54,Central,IA,Coffee,Decaf Irish Cream,Decaf
2/1/2010,47,Central,IA,Espresso,Caffe Mocha,Regular
2/1/2010,43,Central,IA,Espresso,Decaf Espresso,Decaf
2/1/2010,545,Central,IA,Herbal Tea,Chamomile,Decaf
2/1/2010,254,Central,IA,Herbal Tea,Lemon,Decaf
2/1/2010,457,Central,IA,Tea,Darjeeling,Regular
2/1/2010,534,Central,IA,Tea,Earl Grey,Regular
2/1/2010,193,Central,MO,Coffee,Columbian,Regular
2/1/2010,165,Central,MO,Coffee,Decaf Irish Cream,Decaf
2/1/2010,74,Central,MO,Tea,Green Tea,Regular
2/1/2010,123,Central,MO,Espresso,Caffe Mocha,Regular
2/1/2010,103,Central,MO,Espresso,Decaf Espresso,Decaf
2/1/2010,104,Central,MO,Herbal Tea,Chamomile,Decaf
2/1/2010,102,Central,MO,Herbal Tea,Lemon,Decaf
2/1/2010,82,Central,MO,Tea,Darjeeling,Regular
2/1/2010,68,Central,MO,Tea,Earl Grey,Regular
2/1/2010,140,Central,OH,Coffee,Amaretto,Regular
2/1/2010,128,Central,OH,Coffee,Columbian,Regular
2/1/2010,129,Central,OH,Coffee,Decaf Irish Cream,Decaf
2/1/2010,200,Central,OH,Tea,Darjeeling,Regular
2/1/2010,206,Central,OH,Tea,Earl Grey,Regular
2/1/2010,132,Central,OH,Espresso,Decaf Espresso,Decaf
2/1/2010,340,Central,OH,Espresso,Caffe Mocha,Regular
2/1/2010,56,Central,OH,Herbal Tea,Chamomile,Decaf
2/1/2010,80,Central,OH,Herbal Tea,Lemon,Decaf
2/1/2010,118,Central,WI,Coffee,Amaretto,Regular
2/1/2010,220,Central,WI,Coffee,Columbian,Regular
2/1/2010,180,Central,WI,Coffee,Decaf Irish Cream,Decaf
2/1/2010,137,Central,WI,Tea,Darjeeling,Regular
2/1/2010,155,Central,WI,Tea,Earl Grey,Regular
2/1/2010,110,Central,WI,Espresso,Decaf Espresso,Decaf
2/1/2010,154,Central,WI,Espresso,Caffe Mocha,Regular
2/1/2010,174,Central,WI,Herbal Tea,Chamomile,Decaf
2/1/2010,115,Central,WI,Herbal Tea,Lemon,Decaf
2/1/2010,123,East,CT,Tea,Darjeeling,Regular
2/1/2010,66,East,CT,Tea,Green Tea,Regular
2/1/2010,130,East,CT,Espresso,Decaf Espresso,Decaf
2/1/2010,155,East,CT,Espresso,Caffe Mocha,Regular
2/1/2010,325,East,CT,Coffee,Columbian,Regular
2/1/2010,193,East,CT,Herbal Tea,Lemon,Decaf
2/1/2010,165,East,CT,Herbal Tea,Mint,Decaf
2/1/2010,80,East,FL,Tea,Darjeeling,Regular
2/1/2010,115,East,FL,Tea,Green Tea,Regular
2/1/2010,180,East,FL,Espresso,Decaf Espresso,Decaf
2/1/2010,220,East,FL,Espresso,Caffe Mocha,Regular
2/1/2010,206,East,FL,Coffee,Decaf Irish Cream,Decaf
2/1/2010,200,East,FL,Coffee,Columbian,Regular
2/1/2010,110,East,FL,Herbal Tea,Chamomile,Decaf
2/1/2010,118,East,FL,Herbal Tea,Lemon,Decaf
2/1/2010,154,East,FL,Herbal Tea,Mint,Decaf
2/1/2010,80,East,MA,Tea,Darjeeling,Regular
2/1/2010,56,East,MA,Tea,Green Tea,Regular
2/1/2010,340,East,MA,Espresso,Regular Espresso,Regular
2/1/2010,128,East,MA,Espresso,Caffe Mocha,Regular
2/1/2010,470,East,MA,Coffee,Columbian,Regular
2/1/2010,132,East,MA,Herbal Tea,Lemon,Decaf
2/1/2010,45,East,NH,Tea,Darjeeling,Regular
2/1/2010,43,East,NH,Tea,Green Tea,Regular
2/1/2010,68,East,NH,Espresso,Regular Espresso,Regular
2/1/2010,104,East,NH,Espresso,Caffe Mocha,Regular
2/1/2010,101,East,NH,Coffee,Amaretto,Regular
2/1/2010,114,East,NH,Coffee,Columbian,Regular
2/1/2010,74,East,NH,Herbal Tea,Lemon,Decaf
2/1/2010,232,East,NY,Tea,Darjeeling,Regular
2/1/2010,243,East,NY,Tea,Earl Grey,Regular
2/1/2010,189,East,NY,Tea,Green Tea,Regular
2/1/2010,580,East,NY,Espresso,Regular Espresso,Regular
2/1/2010,61,East,NY,Espresso,Caffe Mocha,Regular
2/1/2010,645,East,NY,Coffee,Columbian,Regular
2/1/2010,495,East,NY,Herbal Tea,Lemon,Decaf
2/1/2010,180,East,NY,Herbal Tea,Mint,Decaf
2/1/2010,174,South,LA,Espresso,Caffe Mocha,Regular
2/1/2010,137,South,LA,Espresso,Decaf Espresso,Decaf
2/1/2010,112,South,LA,Herbal Tea,Chamomile,Decaf
2/1/2010,193,South,LA,Herbal Tea,Lemon,Decaf
2/1/2010,155,South,LA,Espresso,Caffe Latte,Regular
2/1/2010,94,South,LA,Coffee,Columbian,Regular
2/1/2010,115,South,LA,Coffee,Decaf Irish Cream,Decaf
2/1/2010,104,South,NM,Espresso,Caffe Mocha,Regular
2/1/2010,82,South,NM,Espresso,Decaf Espresso,Decaf
2/1/2010,45,South,NM,Herbal Tea,Chamomile,Decaf
2/1/2010,63,South,NM,Herbal Tea,Lemon,Decaf
2/1/2010,68,South,NM,Espresso,Caffe Latte,Regular
2/1/2010,114,South,NM,Coffee,Columbian,Regular
2/1/2010,102,South,NM,Coffee,Decaf Irish Cream,Decaf
2/1/2010,206,South,OK,Espresso,Caffe Latte,Regular
2/1/2010,56,South,OK,Espresso,Caffe Mocha,Regular
2/1/2010,200,South,OK,Espresso,Decaf Espresso,Decaf
2/1/2010,118,South,OK,Herbal Tea,Chamomile,Decaf
2/1/2010,220,South,OK,Herbal Tea,Lemon,Decaf
2/1/2010,100,South,OK,Coffee,Columbian,Regular
2/1/2010,80,South,OK,Coffee,Decaf Irish Cream,Decaf
2/1/2010,189,South,TX,Espresso,Caffe Latte,Regular
2/1/2010,243,South,TX,Espresso,Caffe Mocha,Regular
2/1/2010,189,South,TX,Espresso,Decaf Espresso,Decaf
2/1/2010,140,South,TX,Herbal Tea,Chamomile,Decaf
2/1/2010,128,South,TX,Herbal Tea,Lemon,Decaf
2/1/2010,465,South,TX,Coffee,Columbian,Regular
2/1/2010,190,South,TX,Coffee,Decaf Irish Cream,Decaf
2/1/2010,103,West,UT,Espresso,Caffe Latte,Regular
2/1/2010,112,West,UT,Espresso,Caffe Mocha,Regular
2/1/2010,123,West,UT,Espresso,Decaf Espresso,Decaf
2/1/2010,101,West,UT,Herbal Tea,Chamomile,Decaf
2/1/2010,114,West,UT,Herbal Tea,Lemon,Decaf
2/1/2010,102,West,UT,Herbal Tea,Mint,Decaf
2/1/2010,104,West,UT,Tea,Darjeeling,Regular
2/1/2010,82,West,UT,Tea,Earl Grey,Regular
2/1/2010,68,West,UT,Tea,Green Tea,Regular
2/1/2010,165,West,UT,Coffee,Amaretto,Regular
2/1/2010,130,West,UT,Coffee,Columbian,Regular
2/1/2010,193,West,UT,Coffee,Decaf Irish Cream,Decaf
2/1/2010,457,West,CA,Espresso,Caffe Latte,Regular
2/1/2010,290,West,CA,Espresso,Caffe Mocha,Regular
2/1/2010,545,West,CA,Espresso,Decaf Espresso,Decaf
2/1/2010,232,West,CA,Herbal Tea,Chamomile,Decaf
2/1/2010,465,West,CA,Herbal Tea,Lemon,Decaf
2/1/2010,190,West,CA,Herbal Tea,Mint,Decaf
2/1/2010,243,West,CA,Tea,Darjeeling,Regular
2/1/2010,189,West,CA,Tea,Earl Grey,Regular
2/1/2010,189,West,CA,Tea,Green Tea,Regular
2/1/2010,132,West,CA,Coffee,Amaretto,Regular
2/1/2010,645,West,CA,Coffee,Columbian,Regular
2/1/2010,122,West,CA,Coffee,Decaf Irish Cream,Decaf
2/1/2010,43,West,NV,Espresso,Caffe Latte,Regular
2/1/2010,45,West,NV,Espresso,Caffe Mocha,Regular
2/1/2010,47,West,NV,Espresso,Decaf Espresso,Decaf
2/1/2010,63,West,NV,Coffee,Decaf Irish Cream,Decaf
2/1/2010,290,West,NV,Herbal Tea,Chamomile,Decaf
2/1/2010,354,West,NV,Herbal Tea,Lemon,Decaf
2/1/2010,254,West,NV,Herbal Tea,Mint,Decaf
2/1/2010,545,West,NV,Tea,Darjeeling,Regular
2/1/2010,457,West,NV,Tea,Earl Grey,Regular
2/1/2010,23,West,NV,Tea,Green Tea,Regular
2/1/2010,74,West,NV,Coffee,Columbian,Regular
2/1/2010,132,West,OR,Espresso,Caffe Latte,Regular
2/1/2010,140,West,OR,Espresso,Caffe Mocha,Regular
2/1/2010,340,West,OR,Espresso,Decaf Espresso,Decaf
2/1/2010,128,West,OR,Coffee,Decaf Irish Cream,Decaf
2/1/2010,81,West,OR,Herbal Tea,Chamomile,Decaf
2/1/2010,100,West,OR,Herbal Tea,Lemon,Decaf
2/1/2010,56,West,OR,Tea,Darjeeling,Regular
2/1/2010,200,West,OR,Tea,Earl Grey,Regular
2/1/2010,206,West,OR,Tea,Green Tea,Regular
2/1/2010,129,West,OR,Coffee,Amaretto,Regular
2/1/2010,155,West,OR,Coffee,Columbian,Regular
2/1/2010,110,West,WA,Espresso,Caffe Latte,Regular
2/1/2010,118,West,WA,Espresso,Caffe Mocha,Regular
2/1/2010,154,West,WA,Espresso,Decaf Espresso,Decaf
2/1/2010,220,West,WA,Coffee,Decaf Irish Cream,Decaf
2/1/2010,325,West,WA,Herbal Tea,Chamomile,Decaf
2/1/2010,94,West,WA,Herbal Tea,Lemon,Decaf
2/1/2010,174,West,WA,Tea,Darjeeling,Regular
2/1/2010,137,West,WA,Tea,Earl Grey,Regular
2/1/2010,155,West,WA,Tea,Green Tea,Regular
2/1/2010,142,West,WA,Coffee,Columbian,Regular
3/1/2010,213,Central,CO,Coffee,Amaretto,Regular
3/1/2010,193,Central,CO,Coffee,Columbian,Regular
3/1/2010,234,Central,CO,Coffee,Decaf Irish Cream,Decaf
3/1/2010,98,Central,CO,Tea,Green Tea,Regular
3/1/2010,198,Central,CO,Espresso,Caffe Mocha,Regular
3/1/2010,180,Central,CO,Espresso,Decaf Espresso,Decaf
3/1/2010,325,Central,CO,Herbal Tea,Chamomile,Decaf
3/1/2010,125,Central,CO,Herbal Tea,Lemon,Decaf
3/1/2010,134,Central,CO,Herbal Tea,Mint,Decaf
3/1/2010,129,Central,CO,Tea,Darjeeling,Regular
3/1/2010,135,Central,CO,Tea,Earl Grey,Regular
3/1/2010,367,Central,IL,Coffee,Columbian,Regular
3/1/2010,267,Central,IL,Coffee,Decaf Irish Cream,Decaf
3/1/2010,567,Central,IL,Espresso,Caffe Mocha,Regular
3/1/2010,478,Central,IL,Espresso,Decaf Espresso,Decaf
3/1/2010,213,Central,IL,Herbal Tea,Chamomile,Decaf
3/1/2010,193,Central,IL,Herbal Tea,Lemon,Decaf
3/1/2010,234,Central,IL,Herbal Tea,Mint,Decaf
3/1/2010,198,Central,IL,Tea,Darjeeling,Regular
3/1/2010,180,Central,IL,Tea,Earl Grey,Regular
3/1/2010,45,Central,IA,Coffee,Amaretto,Regular
3/1/2010,63,Central,IA,Coffee,Columbian,Regular
3/1/2010,54,Central,IA,Coffee,Decaf Irish Cream,Decaf
3/1/2010,41,Central,IA,Espresso,Caffe Mocha,Regular
3/1/2010,43,Central,IA,Espresso,Decaf Espresso,Decaf
3/1/2010,567,Central,IA,Herbal Tea,Chamomile,Decaf
3/1/2010,267,Central,IA,Herbal Tea,Lemon,Decaf
3/1/2010,478,Central,IA,Tea,Darjeeling,Regular
3/1/2010,546,Central,IA,Tea,Earl Grey,Regular
3/1/2010,189,Central,MO,Coffee,Columbian,Regular
3/1/2010,163,Central,MO,Coffee,Decaf Irish Cream,Decaf
3/1/2010,75,Central,MO,Tea,Green Tea,Regular
3/1/2010,121,Central,MO,Espresso,Caffe Mocha,Regular
3/1/2010,118,Central,MO,Espresso,Decaf Espresso,Decaf
3/1/2010,107,Central,MO,Herbal Tea,Chamomile,Decaf
3/1/2010,106,Central,MO,Herbal Tea,Lemon,Decaf
3/1/2010,85,Central,MO,Tea,Darjeeling,Regular
3/1/2010,75,Central,MO,Tea,Earl Grey,Regular
3/1/2010,134,Central,OH,Coffee,Amaretto,Regular
3/1/2010,121,Central,OH,Coffee,Columbian,Regular
3/1/2010,125,Central,OH,Coffee,Decaf Irish Cream,Decaf
3/1/2010,210,Central,OH,Tea,Darjeeling,Regular
3/1/2010,214,Central,OH,Tea,Earl Grey,Regular
3/1/2010,129,Central,OH,Espresso,Decaf Espresso,Decaf
3/1/2010,325,Central,OH,Espresso,Caffe Mocha,Regular
3/1/2010,53,Central,OH,Herbal Tea,Chamomile,Decaf
3/1/2010,79,Central,OH,Herbal Tea,Lemon,Decaf
3/1/2010,120,Central,WI,Coffee,Amaretto,Regular
3/1/2010,227,Central,WI,Coffee,Columbian,Regular
3/1/2010,188,Central,WI,Coffee,Decaf Irish Cream,Decaf
3/1/2010,129,Central,WI,Tea,Darjeeling,Regular
3/1/2010,150,Central,WI,Tea,Earl Grey,Regular
3/1/2010,112,Central,WI,Espresso,Decaf Espresso,Decaf
3/1/2010,155,Central,WI,Espresso,Caffe Mocha,Regular
3/1/2010,167,Central,WI,Herbal Tea,Chamomile,Decaf
3/1/2010,121,Central,WI,Herbal Tea,Lemon,Decaf
3/1/2010,121,East,CT,Tea,Darjeeling,Regular
3/1/2010,62,East,CT,Tea,Green Tea,Regular
3/1/2010,124,East,CT,Espresso,Decaf Espresso,Decaf
3/1/2010,150,East,CT,Espresso,Caffe Mocha,Regular
3/1/2010,309,East,CT,Coffee,Columbian,Regular
3/1/2010,189,East,CT,Herbal Tea,Lemon,Decaf
3/1/2010,163,East,CT,Herbal Tea,Mint,Decaf
3/1/2010,81,East,FL,Tea,Darjeeling,Regular
3/1/2010,121,East,FL,Tea,Green Tea,Regular
3/1/2010,188,East,FL,Espresso,Decaf Espresso,Decaf
3/1/2010,227,East,FL,Espresso,Caffe Mocha,Regular
3/1/2010,214,East,FL,Coffee,Decaf Irish Cream,Decaf
3/1/2010,210,East,FL,Coffee,Columbian,Regular
3/1/2010,112,East,FL,Herbal Tea,Chamomile,Decaf
3/1/2010,120,East,FL,Herbal Tea,Lemon,Decaf
3/1/2010,155,East,FL,Herbal Tea,Mint,Decaf
3/1/2010,79,East,MA,Tea,Darjeeling,Regular
3/1/2010,53,East,MA,Tea,Green Tea,Regular
3/1/2010,325,East,MA,Espresso,Regular Espresso,Regular
3/1/2010,125,East,MA,Espresso,Caffe Mocha,Regular
3/1/2010,492,East,MA,Coffee,Columbian,Regular
3/1/2010,129,East,MA,Herbal Tea,Lemon,Decaf
3/1/2010,45,East,NH,Tea,Darjeeling,Regular
3/1/2010,43,East,NH,Tea,Green Tea,Regular
3/1/2010,75,East,NH,Espresso,Regular Espresso,Regular
3/1/2010,107,East,NH,Espresso,Caffe Mocha,Regular
3/1/2010,107,East,NH,Coffee,Amaretto,Regular
3/1/2010,119,East,NH,Coffee,Columbian,Regular
3/1/2010,75,East,NH,Herbal Tea,Lemon,Decaf
3/1/2010,234,East,NY,Tea,Darjeeling,Regular
3/1/2010,213,East,NY,Tea,Earl Grey,Regular
3/1/2010,198,East,NY,Tea,Green Tea,Regular
3/1/2010,63,East,NY,Espresso,Caffe Mocha,Regular
3/1/2010,523,East,NY,Espresso,Regular Espresso,Regular
3/1/2010,675,East,NY,Coffee,Columbian,Regular
